Time (ns),Atom id,Diffusion Coefficient (cm²/s)
770.0,48,0.227949
770.0,97,0.00182879
770.0,100,0.337067
770.0,110,0.250992
770.0,119,0.316213
770.0,126,0.199076
770.0,183,0.263892
770.0,196,0.313014
770.0,275,0.198442
780.0,54,0.268782
780.0,55,0.157954
780.0,74,0.154436
780.0,87,0.0923467
780.0,126,0.239196
780.0,176,0.171726
780.0,228,0.17391
780.0,257,0.145314
790.0,10,0.0143436
790.0,35,0.249948
790.0,43,0.163987
790.0,44,0.207165
790.0,77,0.150244
790.0,84,0.255256
790.0,96,0.254397
790.0,97,0.000451203
790.0,151,0.197857
790.0,179,0.114629
790.0,191,0.0846631
790.0,261,0.188727
800.0,35,0.248769
800.0,66,0.227282
800.0,84,0.0
800.0,88,0.221932
800.0,97,0.000449201
800.0,185,0.0
800.0,208,0.143937
800.0,225,0.329531
800.0,237,0.0772241
800.0,249,0.316365
810.0,18,0.127685
810.0,46,0.00583805
810.0,69,0.266262
810.0,97,0.0
810.0,133,0.330408
810.0,153,0.254466
810.0,168,0.00478682
810.0,171,0.119075
810.0,199,0.242366
810.0,204,0.0
810.0,210,0.218709
810.0,211,0.222093
820.0,4,0.0
820.0,21,0.311483
820.0,55,0.21534
820.0,57,0.168139
820.0,76,0.243905
820.0,97,0.00146001
820.0,101,0.273029
820.0,107,0.260993
820.0,168,0.0
820.0,174,0.301787
820.0,208,0.325027
820.0,226,0.214056
820.0,228,0.298554
820.0,279,0.255408
820.0,283,0.287367
830.0,8,0.325383
830.0,41,0.31671
830.0,43,0.0104821
830.0,97,0.00050452
830.0,138,0.0732151
830.0,177,0.292894
830.0,200,0.237939
830.0,237,0.115954
830.0,248,0.272895
830.0,264,0.205961
840.0,3,0.195021
840.0,41,0.1025
840.0,64,0.312077
840.0,88,0.16636
840.0,91,0.18142
840.0,97,0.0
840.0,128,0.0738335
840.0,184,0.110789
840.0,185,0.328107
840.0,221,0.0906553
840.0,224,0.136231
840.0,263,0.275578
840.0,288,0.256644
850.0,7,0.109599
850.0,63,0.0602287
850.0,69,0.257028
850.0,70,0.267243
850.0,80,0.336873
850.0,89,0.275693
850.0,115,0.11532
850.0,168,0.00210447
850.0,192,0.235961
850.0,199,0.324077
850.0,208,0.246424
850.0,220,0.00336997
850.0,231,0.0
850.0,275,0.327273
850.0,278,0.284295
860.0,4,0.299068
860.0,11,0.27524
860.0,23,0.206758
860.0,52,0.225507
860.0,70,0.0835308
860.0,97,0.000904893
860.0,121,0.148637
860.0,156,0.0417212
860.0,168,0.00483783
860.0,171,0.175708
860.0,214,0.249817
860.0,220,1.9943e-05
860.0,225,0.179969
860.0,226,0.169377
860.0,228,0.234827
860.0,232,0.337192
860.0,261,0.33231
870.0,4,0.198013
870.0,26,0.315592
870.0,40,0.28059
870.0,52,0.0
870.0,68,0.293648
870.0,88,0.210329
870.0,97,0.000748163
870.0,109,0.320512
870.0,111,0.180891
870.0,128,0.25387
870.0,194,0.0492858
870.0,222,0.174182
870.0,223,0.0648169
880.0,1,0.3354
880.0,9,0.0379158
880.0,27,0.0717196
880.0,42,0.0956401
880.0,46,0.00777342
880.0,57,0.24537
880.0,67,0.216626
880.0,97,0.000652269
880.0,121,0.178433
880.0,122,0.325129
880.0,136,0.125485
880.0,155,0.248704
880.0,168,0.0169317
880.0,197,0.298629
880.0,245,0.184709
890.0,3,0.156033
890.0,46,0.000270227
890.0,57,0.309483
890.0,63,0.139114
890.0,83,0.00654736
890.0,97,0.000325481
890.0,168,0.00337241
890.0,185,0.274215
890.0,191,0.33123
890.0,228,0.146826
900.0,2,0.302778
900.0,39,0.195858
900.0,46,0.00372406
900.0,52,0.228375
900.0,67,0.0573548
900.0,97,0.0
900.0,107,0.174635
900.0,164,0.215904
900.0,168,0.00324789
900.0,205,0.288496
900.0,208,0.220807
900.0,212,0.118769
910.0,34,0.335099
910.0,42,0.232794
910.0,62,0.00234561
910.0,88,0.275317
910.0,91,0.158862
910.0,95,0.21682
910.0,114,0.300588
910.0,126,0.30936
910.0,155,0.319124
910.0,168,0.00272514
910.0,195,0.331261
910.0,209,0.253769
910.0,220,0.0349509
910.0,274,0.0598289
910.0,288,0.0972086
920.0,26,0.0265736
920.0,46,0.00461036
920.0,97,0.00119648
920.0,113,0.317444
920.0,168,0.0239196
920.0,172,0.336358
920.0,179,0.274021
920.0,201,0.305036
920.0,242,0.0
920.0,272,0.15903
920.0,284,0.327645
930.0,15,0.208067
930.0,33,0.335847
930.0,42,0.0105753
930.0,59,0.212948
930.0,97,0.0
930.0,147,0.172867
930.0,192,0.185492
930.0,268,0.216685
940.0,4,0.274708
940.0,46,0.0
940.0,86,0.297371
940.0,97,0.00134975
940.0,104,0.142484
940.0,136,0.0
940.0,148,0.217074
940.0,168,0.0
940.0,181,0.304984
940.0,243,0.00390986
940.0,251,0.227238
940.0,284,0.321535
950.0,40,0.327843
950.0,60,0.334875
950.0,69,0.278584
950.0,75,0.216042
950.0,82,0.213054
950.0,97,0.0
950.0,101,0.127733
950.0,112,0.252952
950.0,124,0.306177
950.0,182,0.000457816
950.0,214,0.278291
950.0,224,0.270808
950.0,282,0.263781
960.0,24,0.296806
960.0,46,0.00947999
960.0,97,0.000194205
960.0,103,0.221725
960.0,162,0.137314
960.0,167,0.310373
960.0,205,0.241364
960.0,214,0.331196
960.0,226,0.209892
960.0,240,0.205959
960.0,267,0.273007
970.0,6,0.213814
970.0,9,0.229571
970.0,41,0.200957
970.0,42,0.0345815
970.0,46,0.00706104
970.0,97,0.000190794
